candidate,model,tmax,log_likelihood,log_evidence,log_evidence_err,log_bayes_factor,luminosity_distance,KNphi,inclination_EM,KNtimeshift,log10_mej_dyn,log10_mej_wind,Ebv,log_prior,log10_n0,p,log10_epsilon_e,log10_epsilon_B,log10_E0,thetaCore,thetaWing,ksiN,L0,dL,b,q,ts,supernova_mag_boost
nugent-hyper_0,Bu2019lm,11.0,-13.013911236717034,-23.73949052228327,0.08038767807240366,-23.73949052228327,9.921941525582982,48.74431596326327,0.7740642607966273,0.9563402845692135,-2.7445851871699034,-0.8106312231620842,0.10873031303836646,-8.471408171111646,,,,,,,,,,,,,,
nugent-hyper_0,Bu2019lm,13.0,-18.013900081502296,-28.97885081596598,0.08778596124773524,-28.97885081596598,9.815725180978394,49.3451097157373,0.7716061131706691,0.9628752679910195,-2.68062488292597,-0.7353482935107873,0.264127614261233,-8.882117529517432,,,,,,,,,,,,,,
nugent-hyper_0,Bu2019lm,15.0,-25.76060508534848,-37.50909925727254,0.09049176435290811,-37.50909925727254,9.569379711465329,48.906866064370476,0.7739487034901641,0.9633498664643771,-2.6612569409495737,-0.5653558609018292,0.30113605022770135,-9.007606477562119,,,,,,,,,,,,,,
nugent-hyper_0,TrPi2018,3.0,-1.8416809952094935,-4.7303943212977515,0.042245735324570426,-4.7303943212977515,188.93430631549296,,0.17873158393334915,-1.0740743840760898,,,0.06180423240884672,-10.976309095632619,-2.486487048900096,2.4507140848292446,-0.07381230434092245,-2.5048207066065777,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
nugent-hyper_0,TrPi2018,5.0,-2.7805515483708354,-6.6027003893425205,0.05039985922544847,-6.6027003893425205,164.98726526750056,,0.17313864450804375,-1.2999858983360797,,,0.4509774321534692,-12.444074338656627,-2.807124786307172,2.240634789713382,-0.4016636798853668,-1.0044797940977244,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
nugent-hyper_0,TrPi2018,7.0,-3.7074934092625833,-8.327631825025273,0.05656027902372976,-8.327631825025273,147.5112957135584,,0.1860565073926554,-1.8144152898921229,,,0.235721926165638,-11.353041158651175,-2.8007331675798137,2.222894097954976,-0.30476100122248706,-1.294667278381043,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
nugent-hyper_0,TrPi2018,9.0,-3.715692226317259,-8.342034540127973,0.056627799662961026,-8.342034540127973,192.87235300829855,,0.18602395453107862,-1.7922110899878028,,,0.20947657352111024,-11.278149450398363,-2.7585519261878386,2.3220496549017864,-0.509188750890198,-0.8516129208064553,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
nugent-hyper_0,TrPi2018,11.0,-4.677164342395712,-10.008490957002763,0.06154147536826276,-10.008490957002763,158.6588988337435,,0.18421521501926116,-1.6858677665615633,,,0.14622384642466052,-11.12714741463493,-2.8519885316646425,2.227762511137132,-0.2482737636209862,-1.3478603307882093,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
nugent-hyper_0,TrPi2018,13.0,-5.643141530396392,-11.746217179240583,0.06591952353598528,-11.746217179240583,173.71799643272647,,0.19562649941370897,-1.9940851097801804,,,0.13105573487767813,-11.032796617365982,-2.705456753009009,2.1359985109208965,-0.2863466149500997,-0.863826782403847,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
nugent-hyper_0,TrPi2018,15.0,-6.613238941863812,-13.168836624570972,0.06884651038379894,-13.168836624570972,157.62314176889,,0.18908895311440482,-1.5878841564846455,,,0.012955250672027952,-10.829246511774892,-2.747941680144107,2.1141211581113217,-0.07751137976534483,-1.5246419405700482,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
nugent-hyper_0,nugent-hyper,3.0,-1.8413983097399327,-3.690292993531319,0.03541196047544952,-3.690292993531319,176.8767429773731,,,-0.33288309813519357,,,0.45634723174815417,-9.162026433294967,,,,,,,,,,,,,,-0.07214957823578416
nugent-hyper_0,nugent-hyper,5.0,-2.7639815197506614,-4.810133382114039,0.038238781607374,-4.810133382114039,140.08014313047843,,,-0.3294230423073121,,,0.16248387753286278,-7.900118860268386,,,,,,,,,,,,,,1.506323572908121
nugent-hyper_0,nugent-hyper,7.0,-3.6836022004674747,-5.9586845120469585,0.040593517227415,-5.9586845120469585,130.25932886413693,,,-0.37337924025267877,,,0.5547625848628283,-11.046048914021556,,,,,,,,,,,,,,0.3545733299700977
nugent-hyper_0,nugent-hyper,9.0,-3.683571948548394,-5.915003799244735,0.04039671549572707,-5.915003799244735,313.46083920631463,,,-0.1752938706910636,,,0.2946438943358384,-8.289328008821718,,,,,,,,,,,,,,-0.9090200233656773
nugent-hyper_0,nugent-hyper,11.0,-4.60324488768514,-6.948912458139658,0.04186375487032097,-6.948912458139658,149.408609824886,,,-0.27100261345504695,,,0.5028867221282578,-9.674553636851504,,,,,,,,,,,,,,0.1652016167445316
